,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
0,com.itextpdf.text.ExceptionConverter,10,4,0,0,21,3,67,10,0.7038973693795252,0.7149526154872053,0.0
1,com.itextpdf.text.pdf.qrcode.Version,13,1,0,5,27,46,2,8,-7.63913223746511,-8.438175731695429,2.0
2,com.itextpdf.text.pdf.LtvVerification$1,0,1,0,0,0,0,2,0,0.7540801391382728,1.1875633328944055,6.0
3,com.itextpdf.text.pdf.codec.wmf.MetaObject,3,1,3,0,4,0,5,3,-0.43122065096921336,0.2020174351924956,0.0
4,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-1.4321507944656537,2.0
5,com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy,8,1,0,6,31,14,2,6,-7.6067940399074,-8.772549081569384,10.0
6,com.itextpdf.text.pdf.fonts.FontsResourceAnchor,1,1,0,0,2,0,2,1,0.6001384041726006,0.5893628394357852,0.0
7,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-7.819483962251907,9.0
8,com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.5893628394357852,4.0
9,com.itextpdf.text.TextElementArray,1,1,0,1,1,0,5,1,-2.1914983684337828,-1.9813794314603237,4.0
10,com.itextpdf.text.pdf.CMapAwareDocumentFont,8,3,0,11,33,18,5,4,-8.919173722133268,-9.757672585335841,5.0
11,com.itextpdf.text.pdf.internal.PdfXConformanceImp,11,1,0,22,40,0,2,11,-11.803932331946688,-13.163151281963126,4.0
12,com.itextpdf.text.pdf.IntHashtable$Entry,4,1,0,0,5,0,3,2,0.10321440364588741,0.0709087371376953,4.0
13,com.itextpdf.text.pdf.PdfEncodings$SymbolConversion,5,1,0,2,11,2,1,3,-4.147668978311056,-4.716843839720589,4.0
14,com.itextpdf.text.pdf.ShadingColor,4,3,0,2,6,0,2,4,-3.2593651570057993,-3.1018910595383,4.0
15,com.itextpdf.text.pdf.qrcode.ByteMatrix,9,1,0,0,14,0,6,9,-0.12119864030217098,-0.46188804708558706,0.0
16,com.itextpdf.text.pdf.qrcode.BitArray,12,1,0,0,18,0,1,11,-0.24882827914744943,-0.6239407343566665,0.0
17,com.itextpdf.text.html.simpleparser.ImageStore,1,3,0,0,2,0,1,1,1.3542185433108733,1.7769261723301906,5.0
18,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState,3,1,0,5,8,3,2,1,-6.6051831619409604,-7.25767506295642,9.0
19,com.itextpdf.text.pdf.codec.TiffImage,10,1,0,18,76,45,1,6,-11.424870500313386,-13.24345844840835,4.0
20,com.itextpdf.text.xml.xmp.XmpReader,6,1,0,2,41,0,1,6,-3.6017487678762032,-5.031282133439441,1.0
21,com.itextpdf.text.pdf.OcspClient,1,1,0,0,1,0,2,1,0.4434171836130442,0.7348142194157778,0.0
22,com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5,-5.4553473320020895,-6.23611600129601,6.0
23,com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,3,1,-0.839588404801472,-0.24458746157124836,1.0
24,com.itextpdf.text.pdf.PdfOCG,2,1,0,2,2,1,11,2,-4.034662306563552,-3.9488814539004657,4.0
25,com.itextpdf.text.pdf.CFFFont$UInt16Item,3,2,0,1,5,1,2,3,-2.024442467734902,-1.9986892463052661,4.0
26,com.itextpdf.text.html.simpleparser.ImageProvider,1,1,0,3,1,0,2,1,-4.82641392048061,-4.697573082336425,8.0
27,com.itextpdf.text.pdf.collection.PdfTargetDictionary,8,3,0,5,12,28,1,8,-6.7291389370824675,-6.7660121400339195,4.0
28,com.itextpdf.text.pdf.PdfFileSpecification,14,3,0,13,46,79,8,14,-10.055511629167086,-10.864297319513538,4.0
29,com.itextpdf.text.pdf.interfaces.PdfVersion,4,1,0,2,4,6,2,4,-4.4806933658633925,-4.488199694087871,4.0
30,com.itextpdf.text.FontFactoryImp,25,1,0,10,76,168,2,24,-10.29075885858893,-11.568657308548909,4.0
31,com.itextpdf.text.pdf.collection.PdfCollection,5,3,0,6,9,10,4,5,-6.910105250583738,-6.997425932009746,4.0
32,com.itextpdf.text.Section,53,4,1,13,93,1196,4,47,-11.40798781343516,-11.55196276390609,4.0
33,com.itextpdf.text.xml.xmp.XmpBasicSchema,7,5,0,2,12,21,1,7,-3.5069294814436693,-3.2751063921088193,3.0
34,com.itextpdf.text.pdf.parser.TextRenderInfo,13,1,0,7,32,14,9,8,-8.47130760744768,-9.436947438185928,7.0
35,com.itextpdf.text.pdf.PdfLister,6,1,0,8,31,0,0,6,-7.883099498186823,-9.238797182998532,5.0
36,com.itextpdf.text.pdf.CFFFont$UInt32Item,3,2,0,1,5,1,1,3,-2.024442467734902,-1.9986892463052661,4.0
37,com.itextpdf.text.pdf.PdfSignatureAppearance$RangeStream,4,2,0,1,12,2,1,2,-1.982108954387961,-2.4083210072363337,6.0
38,com.itextpdf.text.Annotation,29,1,0,3,37,126,4,28,-6.788188300199038,-7.346451236884565,4.0
39,com.itextpdf.text.html.HtmlTags,1,1,0,0,2,0,0,1,0.6001384041726006,0.5893628394357852,0.0
40,com.itextpdf.text.pdf.crypto.IVGenerator,4,1,0,1,16,4,2,2,-2.40804525294579,-3.283093451618986,1.0
41,com.itextpdf.text.pdf.qrcode.MaskUtil,7,1,0,2,18,21,2,5,-4.555437103221491,-5.293483007359478,5.0
42,com.itextpdf.text.pdf.SequenceList,7,1,0,0,24,5,3,1,-0.047974557045202704,-0.8735712980942524,0.0
43,com.itextpdf.text.pdf.StampContent,5,2,0,8,8,0,2,2,-7.80362681188602,-8.043677673358953,4.0
44,com.itextpdf.text.pdf.PRTokeniser,31,1,0,4,53,133,9,30,-7.563786935450874,-8.374737560926057,4.0
45,com.itextpdf.text.pdf.PdfSignatureAppearance$1,1,1,0,1,3,0,2,0,-1.9235816722928396,-2.230030207878772,6.0
46,com.itextpdf.text.pdf.codec.PngWriter,14,1,0,1,27,71,1,9,-3.5943878309950743,-4.22344440916114,5.0
47,com.itextpdf.text.pdf.qrcode.ReedSolomonException,1,3,0,0,2,0,0,1,1.3542185433108733,1.7769261723301906,0.0
48,com.itextpdf.text.pdf.PdfNull,3,2,0,1,4,3,7,2,-2.2150247449872165,-2.047074875430913,4.0
49,com.itextpdf.text.Anchor,17,5,0,6,39,0,1,17,-6.434674624560429,-6.729889243582103,4.0
50,com.itextpdf.text.pdf.BarcodePDF417,56,1,0,7,87,1070,0,28,-10.003754410252997,-10.90290387905033,5.0
51,com.itextpdf.text.pdf.internal.PolylineShapeIterator,6,1,0,2,11,0,1,5,-4.085969327347948,-4.581881928806113,4.0
52,com.itextpdf.text.pdf.codec.TiffWriter,7,1,0,2,26,9,2,7,-4.28298740831995,-5.29010322881697,2.0
53,com.itextpdf.text.pdf.PdfBorderArray,2,3,0,4,5,1,1,2,-4.954507576676303,-5.011710165212891,4.0
54,com.itextpdf.text.html.simpleparser.StyleSheet,7,1,0,3,38,0,1,7,-4.835442419700312,-6.171338345442224,8.0
55,com.itextpdf.text.pdf.Barcode,38,1,7,7,43,663,7,38,-10.84740205925357,-10.464030868076566,5.0
56,com.itextpdf.text.pdf.PdfNumberTree,4,1,0,9,28,6,2,3,-8.378000109031174,-9.836726135435342,4.0
57,com.itextpdf.text.pdf.PdfLayerMembership,8,3,0,9,18,20,2,7,-8.468368618616653,-8.85089912340751,4.0
58,com.itextpdf.text.pdf.PdfGraphics2D$Kid,1,1,0,1,2,0,1,0,-2.0347771478742263,-2.1268308114403163,4.0
59,com.itextpdf.text.pdf.XfaForm$Xml2SomDatasets,4,2,0,2,45,0,2,2,-2.844619477625678,-4.270161363375246,4.0
60,com.itextpdf.text.pdf.PdfEncryption,32,1,0,21,92,266,11,24,-13.13095754761526,-14.497857139702928,4.0
61,com.itextpdf.text.pdf.CFFFont$UInt24Item,3,2,0,1,5,1,1,3,-2.024442467734902,-1.9986892463052661,4.0
62,com.itextpdf.text.pdf.parser.XObjectDoHandler,1,1,0,3,1,0,4,1,-4.82641392048061,-4.697573082336425,9.0
63,com.itextpdf.text.error_messages.MessageLocalization,10,1,0,1,34,37,122,5,-3.1385052493610246,-4.107252962673455,4.0
64,com.itextpdf.text.pdf.PdfFormField,37,4,0,16,69,640,16,29,-11.533342718825134,-12.001040545206656,4.0
65,com.itextpdf.text.pdf.PdfCopy$PageStamp,8,1,0,20,68,0,1,4,-11.016783760053947,-12.908687133838582,5.0
66,com.itextpdf.text.pdf.PdfResources,2,3,0,3,7,1,1,0,-3.995058757235398,-4.240490514279654,4.0
67,com.itextpdf.text.pdf.PdfDeveloperExtension,6,1,0,5,10,3,3,5,-6.994738635126197,-7.494440905109539,4.0
68,com.itextpdf.text.pdf.PdfColor,2,3,0,4,8,1,1,0,-4.797786356116746,-5.157161545192884,4.0
69,com.itextpdf.text.pdf.PdfReaderInstance,10,1,0,17,64,0,6,0,-10.62138395149293,-12.342291153776996,4.0
