,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_s,FWBR_N,FWBR_L,layer
0,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetRGBStroke,3,1,0,6,6,3,1,1,-7.288306989366029,-4.812799922696422,-7.771582614048337,-6.137566716451392,14.0
1,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-0.7268606301869522,-1.4321507944656537,-1.416926349010577,2.0
2,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-4.871487773037841,-7.819483962251907,-5.992528857060197,14.0
3,com.itextpdf.text.pdf.internal.PdfXConformanceImp,8,1,0,21,32,0,1,8,-11.47872228274956,-8.335472288094694,-12.826385451903358,-9.373938100268887,8.0
4,com.itextpdf.text.pdf.languages.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.4741276464394977,0.5893628394357852,0.7847825539378535,8.0
5,com.itextpdf.text.xml.xmp.XmpReader,6,1,0,2,41,0,0,6,-3.6017487678762032,-3.421375856616649,-5.031282133439441,-1.75462828369941,1.0
6,com.itextpdf.text.xml.xmp.PdfProperties,4,1,0,2,6,6,1,4,-4.350639414109761,-2.6783263892594285,-4.608901451558095,-3.454793323080699,5.0
7,com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5,-5.4553473320020895,-3.910003611695751,-6.23611600129601,-4.022492736690619,10.0
8,com.itextpdf.text.pdf.security.CRLVerifier,6,3,0,7,44,1,1,5,-6.669616641781209,-5.002113856492488,-7.82577363270858,-4.77848420416045,5.0
9,com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,3,1,-0.839588404801472,0.20994471631935685,-0.24458746157124836,-0.9861524252154199,1.0
10,com.itextpdf.text.xml.xmp.XmpBasicProperties,7,1,0,4,12,21,1,7,-6.64396032990839,-4.2460533520057275,-7.1590910097662706,-5.254775873198912,7.0
11,com.itextpdf.text.html.simpleparser.ImageProvider,1,1,0,3,1,0,2,1,-4.82641392048061,-2.845636549011614,-4.697573082336425,-4.563012674274626,9.0
12,com.itextpdf.text.pdf.collection.PdfTargetDictionary,8,3,0,5,12,28,1,8,-6.7291389370824675,-3.770782814032291,-6.7660121400339195,-5.634936804082904,8.0
13,com.itextpdf.text.pdf.PdfFileSpecification,15,3,0,14,51,93,8,15,-10.360520156653827,-6.696297109018946,-11.216399203414348,-8.16700157422417,8.0
14,com.itextpdf.text.pdf.interfaces.PdfVersion,4,1,0,2,4,6,2,4,-4.4806933658633925,-2.5304448171530516,-4.488199694087871,-3.8202595403119717,8.0
15,com.itextpdf.text.pdf.collection.PdfCollection,5,3,0,6,9,10,4,5,-6.910105250583738,-4.0389698857859955,-6.997425932009746,-5.894237965500712,8.0
16,com.itextpdf.text.pdf.parser.InlineImageInfo,3,1,0,1,4,0,3,3,-2.415911412381841,-1.4791985532704983,-2.514176215683606,-1.9533408458399288,9.0
17,com.itextpdf.text.pdf.security.VerificationException,1,4,0,0,5,0,4,1,1.864894822036998,1.40787459781493,1.9105853972285247,2.107110725503156,0.0
18,com.itextpdf.text.xml.xmp.XmpBasicSchema,7,5,0,2,12,21,0,7,-3.5069294814436693,-1.472310772047109,-3.2751063921088193,-2.763726199572156,3.0
19,com.itextpdf.text.pdf.parser.TextRenderInfo,22,1,0,8,50,3,11,14,-8.936129926622645,-6.268853346178548,-9.983849944775418,-6.98811442538453,12.0
20,com.itextpdf.text.Annotation,29,1,0,3,37,126,4,28,-6.788188300199038,-4.1471930313783405,-7.346451236884565,-5.0456188592414275,8.0
21,com.itextpdf.text.html.HtmlTags,1,1,0,0,2,0,0,1,0.6001384041726006,0.4741276464394977,0.5893628394357852,0.7847825539378535,0.0
22,com.itextpdf.text.pdf.SequenceList,7,1,0,0,24,5,3,1,-0.047974557045202704,-0.4493071144070618,-0.8735712980942524,1.260580112927109,0.0
23,com.itextpdf.text.pdf.StampContent,5,2,0,8,8,0,2,2,-7.80362681188602,-4.97290492093178,-8.043677673358953,-6.878195348897947,8.0
24,com.itextpdf.text.pdf.PdfSignatureAppearance$1,1,1,0,1,3,0,1,0,-1.9235816722928396,-1.401294629815832,-2.230030207878772,-1.356441160461899,8.0
25,com.itextpdf.text.pdf.codec.PngWriter,14,1,0,1,27,71,1,9,-3.5943878309950743,-2.2740553740166978,-4.22344440916114,-2.0372722715406746,9.0
26,com.itextpdf.text.Anchor,18,5,0,6,41,0,1,17,-6.460946814610968,-4.045464711907767,-6.763311787599848,-5.28027824902855,8.0
27,com.itextpdf.text.pdf.security.XpathConstructor,1,1,0,0,1,0,3,1,0.4434171836130442,0.6523320006038471,0.7348142194157778,0.34437831503959443,0.0
28,com.itextpdf.text.pdf.codec.TiffWriter,7,1,0,2,26,9,2,7,-4.28298740831995,-3.264302243615364,-5.29010322881697,-2.5872155329967224,2.0
29,com.itextpdf.text.pdf.PdfNumberTree,4,1,0,9,28,6,2,3,-8.378000109031174,-6.3409594567175045,-9.836726135435342,-6.172910781191097,8.0
30,com.itextpdf.xmp.impl.XMPMetaParser,10,1,0,10,49,37,1,1,-9.48103712611683,-6.828041616206716,-10.915494528928239,-7.013635345260094,6.0
31,com.itextpdf.text.pdf.PdfLayerMembership,8,3,0,9,18,20,2,7,-8.468368618616653,-5.2207646941033,-8.85089912340751,-7.004261398037677,8.0
32,com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap,13,1,5,5,25,70,9,7,-8.57966499190255,-5.118033425326808,-8.479313848746761,-6.888547735859661,8.0
33,com.itextpdf.text.pdf.security.CertificateInfo,5,1,0,7,13,10,2,5,-8.041734949864072,-5.460590016339042,-8.828952359954044,-6.432238031879721,3.0
34,com.itextpdf.text.io.IndependentRandomAccessSource,5,1,0,1,9,0,1,5,-2.4864421161459167,-1.7720427945257167,-2.8822168657418064,-1.691407256931551,1.0
35,com.itextpdf.text.pdf.parser.XObjectDoHandler,1,1,0,3,1,0,4,1,-4.82641392048061,-2.845636549011614,-4.697573082336425,-4.563012674274626,14.0
36,com.itextpdf.text.error_messages.MessageLocalization,11,1,0,1,35,47,129,6,-3.2407277958420626,-2.383782806325123,-4.181330256163736,-1.4604834067624823,2.0
37,com.itextpdf.text.pdf.PdfDeveloperExtension,6,1,0,5,10,3,7,5,-6.994738635126197,-4.606205706566274,-7.494440905109539,-5.778540606404589,8.0
38,com.itextpdf.xmp.options.ParseOptions,13,2,0,1,16,78,5,11,-3.3046385629458674,-1.51040937090742,-3.344678958763119,-2.2514339646936112,2.0
39,com.itextpdf.text.pdf.PdfColor,2,3,0,4,8,1,1,0,-4.797786356116746,-3.133473557488252,-5.157161545192884,-3.8369069289750612,8.0
40,com.itextpdf.text.pdf.PdfReaderInstance,10,1,0,17,63,0,7,1,-10.627376662059412,-8.11440873190999,-12.336729379700689,-8.18709895658932,8.0
41,com.itextpdf.text.pdf.BarcodeEANSUPP,4,2,0,6,21,0,0,4,-6.350618563574099,-4.736919030496801,-7.325819062478533,-4.796962856004852,10.0
42,com.itextpdf.text.pdf.PdfDictionary,31,2,34,10,67,317,133,30,-11.848148664911584,-6.625760620966572,-10.99430434686396,-9.814580701098524,8.0
43,com.itextpdf.text.SplitCharacter,1,1,0,1,1,0,4,1,-2.1914983684337828,-1.0966522742038831,-1.9813794314603237,-2.109317179617516,8.0
44,com.itextpdf.text.pdf.interfaces.PdfEncryptionSettings,2,1,0,1,2,1,4,2,-2.493335516049174,-1.2754007438337251,-2.360010023441053,-2.2173521001383163,1.0
45,com.itextpdf.text.pdf.codec.JBIG2Image,4,1,0,7,15,6,1,4,-7.759614198737952,-5.516534929714748,-8.748969447472904,-6.02895058128525,8.0
46,com.itextpdf.text.pdf.CFFFont$DictOffsetItem,3,3,0,1,5,0,2,3,-1.5913599642611818,-0.6225246277643854,-1.3920165920245384,-1.3245346256796622,8.0
47,com.itextpdf.text.pdf.ExtraEncoding,3,1,0,0,3,3,5,3,-0.10746770845204129,0.3431741950569386,0.05448642921518054,0.14298924794039106,0.0
48,com.itextpdf.xmp.XMPDateTime,21,1,0,0,21,210,8,21,-1.5586887671340235,-0.4270796675378808,-1.7100191471647204,-0.3984393345626755,0.0
49,com.itextpdf.text.pdf.PdfSignature,11,3,0,8,22,55,3,10,-8.404100010469218,-5.047977422501726,-8.752290648461383,-6.853462756108585,8.0
50,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextHorizontalScaling,3,1,0,6,7,3,1,1,-7.236694156555887,-4.871487773037841,-7.819483962251907,-5.992528857060197,14.0
51,com.itextpdf.text.pdf.events.IndexEvents$Entry,11,1,0,1,28,11,2,11,-3.0840808668550204,-2.2640669897779264,-3.8761864600725255,-1.5803451100925372,10.0
