ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1
com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0
com.itextpdf.text.pdf.internal.PdfXConformanceImp,8,1,0,21,32,0,1,8
com.itextpdf.text.xml.xmp.XmpReader,6,1,0,2,41,0,1,6
com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5
com.itextpdf.text.pdf.security.CRLVerifier,6,3,0,7,44,1,1,5
com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,3,1
com.itextpdf.text.html.simpleparser.ImageProvider,1,1,0,3,1,0,2,1
com.itextpdf.text.pdf.collection.PdfTargetDictionary,8,3,0,5,12,28,1,8
com.itextpdf.text.pdf.PdfFileSpecification,14,3,0,13,46,79,8,14
com.itextpdf.text.pdf.interfaces.PdfVersion,4,1,0,2,4,6,2,4
com.itextpdf.text.pdf.collection.PdfCollection,5,3,0,6,9,10,4,5
com.itextpdf.text.pdf.parser.InlineImageInfo,3,1,0,1,4,0,3,3
com.itextpdf.text.pdf.security.VerificationException,1,4,0,0,5,0,4,1
com.itextpdf.text.xml.xmp.XmpBasicSchema,7,5,0,2,12,21,1,7
com.itextpdf.text.pdf.parser.TextRenderInfo,18,1,0,7,42,0,9,10
com.itextpdf.text.Annotation,29,1,0,3,37,126,4,28
com.itextpdf.text.html.HtmlTags,1,1,0,0,2,0,0,1
com.itextpdf.text.pdf.SequenceList,7,1,0,0,24,5,3,1
com.itextpdf.text.pdf.StampContent,5,2,0,8,8,0,2,2
com.itextpdf.text.pdf.PdfSignatureAppearance$1,1,1,0,1,3,0,2,0
com.itextpdf.text.pdf.codec.PngWriter,14,1,0,1,27,71,1,9
com.itextpdf.text.Anchor,18,5,0,6,41,0,1,17
com.itextpdf.text.pdf.codec.TiffWriter,7,1,0,2,26,9,2,7
com.itextpdf.text.pdf.PdfNumberTree,4,1,0,9,28,6,2,3
com.itextpdf.text.pdf.PdfLayerMembership,8,3,0,9,18,20,2,7
com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap,13,1,5,5,25,70,9,7
com.itextpdf.text.pdf.security.CertificateInfo,5,1,0,7,13,10,2,5
com.itextpdf.text.pdf.parser.XObjectDoHandler,1,1,0,3,1,0,4,1
com.itextpdf.text.error_messages.MessageLocalization,10,1,0,1,34,37,125,5
com.itextpdf.text.pdf.PdfDeveloperExtension,6,1,0,5,10,3,3,5
com.itextpdf.text.pdf.PdfColor,2,3,0,4,8,1,1,0
com.itextpdf.text.pdf.PdfReaderInstance,10,1,0,17,64,0,6,1
com.itextpdf.text.pdf.BarcodeEANSUPP,4,2,0,6,21,0,0,4
com.itextpdf.text.pdf.PdfDictionary,30,2,32,10,65,251,129,29
com.itextpdf.text.SplitCharacter,1,1,0,1,1,0,3,1
com.itextpdf.text.pdf.interfaces.PdfEncryptionSettings,2,1,0,1,2,1,4,2
com.itextpdf.text.pdf.codec.JBIG2Image,4,1,0,7,15,6,1,4
com.itextpdf.text.pdf.CFFFont$DictOffsetItem,3,3,0,1,5,0,2,3
com.itextpdf.text.pdf.ExtraEncoding,3,1,0,0,3,3,5,3
com.itextpdf.text.pdf.PdfCopy$RefKey,6,1,0,2,17,0,2,3
com.itextpdf.text.pdf.PdfSignature,9,3,0,7,17,36,3,9
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextHorizontalScaling,3,1,0,6,7,3,1,1
com.itextpdf.text.pdf.events.IndexEvents$Entry,11,1,0,1,28,11,2,11
com.itextpdf.text.pdf.PdfTransparencyGroup,3,3,0,4,6,3,4,3
com.itextpdf.text.pdf.PdfWriter,166,2,4,89,437,11261,89,117
com.itextpdf.text.pdf.interfaces.PdfIsoConformance,1,1,0,0,1,0,2,1
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$TextSetTextMatrix,3,1,0,6,10,3,1,1
com.itextpdf.text.pdf.security.SecurityIDs,1,1,0,0,2,0,0,1
com.itextpdf.text.pdf.Pfm2afm,11,1,0,2,39,0,1,1
com.itextpdf.text.pdf.codec.wmf.Point,2,1,0,0,3,1,2,2
